filename,label
---QUuC4vJs,testifying
--3ouPhoy2A,eating_spaghetti
--4-0ihtnBU,dribbling_basketball
--6q_33gNew,tap_dancing
--EaS9P7ZdQ,climbing_a_rope
--IPbe5ZMCI,brushing_teeth
--Ntf6n-j9Q,balloon_blowing
--PyMoD3_eg,feeding_birds
--TBx-Spzis,skiing_(not_slalom_or_crosscountry)
--UW3CcUqaU,dining
--VnA3ztuZg,hurdling
--_S9IDQPLg,javelin_throw
--feYHvtteA,snowkiting
--gx7yb1-x0,balloon_blowing
--j-y5SNUhs,getting_a_haircut
--lrRHlpK68,petting_animal_(not_cat)
--mI_-gaZLk,biking_through_snow
--mQfG6Wu48,brushing_teeth
--uWuXty1jw,drinking
--wGzXrj0SU,making_snowman
-00fzD4K6aw,somersaulting
-00nar1nEPc,playing_harmonica
-01PKgtzCxc,passing_American_football_(not_in_game)
-01cbva4erQ,clay_pottery_making
-02uQdK46rE,shaving_legs
-05APhKiIXc,golf_chipping
-07Ke73N4zI,cooking_chicken
-08KE5FkRUU,hurling_(sport)
-0EXMXaj77A,feeding_birds
-0H3T2B9PH4,pushing_wheelchair
-0HKFF7F_BY,yawning
-0HRnFhCDdc,shaking_hands
-0JU38ZQOlY,canoeing_or_kayaking
-0LoCy0-F9A,hula_hooping
-0M6S1qBn8s,changing_oil
-0MLLn0Zg1M,sailing
-0MsYnGUrfE,playing_paintball
-0R6wpipD-c,eating_spaghetti
-0S06ntmN_I,stretching_arm
-0SoxHZp0SM,snowboarding
-0WBheGENmk,skipping_rope
-0WL_HWewTE,getting_a_haircut
-0Y3H5y75t8,windsurfing
-0Yb1tD3HUo,golf_putting
-0_5tJuIrJA,zumba
-0aDlftNdyw,eating_watermelon
-0cOo0cRVZU,shooting_basketball
-0lqH3xAz6M,snowkiting
-0mnCHRQ-Zc,making_bed
-0oMsq-9b6c,sanding_floor
-0yuyrbruYM,flying_kite
-1-tBHJnKu0,windsurfing
-157wqwwtAo,changing_oil
-1B_EOupmCE,playing_poker
-1Fa5I5O_40,climbing_a_rope
-1GRj5UvVBA,giving_or_receiving_award
-1GUNrYsD4Y,canoeing_or_kayaking
-1HT31BzADs,pole_vault
-1IlTIWPNs4,shoveling_snow
-1IqhhJEfTI,snowkiting
-1KMJ1BZ2mU,climbing_ladder
-1Kv095GbV8,dancing_ballet
-1MXpPymXFU,baking_cookies
-1QHAHq6DnE,cooking_egg
-1QdDpPLoU0,hitting_baseball
-1UuX-zgjhY,passing_American_football_(in_game)
-1VyqbLf1Pg,feeding_birds
-1_m2Igd2Yc,dancing_charleston
-1brKJdL-iM,golf_chipping
-1jQapks1hI,peeling_potatoes
-1lbeA9Jogw,smoking_hookah
-1mbYmIZ9iw,skipping_rope
-1q7jA3DXQM,archery
-1rkM-owGVk,motorcycling
-1vJ0LtMwPw,hurdling
-1z6wTJmBIU,dining
-1zcUy-nivk,disc_golfing
-2-2p5R_ujo,walking_the_dog
-2-nYjSwo8U,shearing_sheep
-239HZbaZ0M,singing
-23v6JvvGEw,knitting
-24HxQDHOAM,mowing_lawn
-29ubzvDWJM,blasting_sand
-2CSZvTHhIQ,swinging_legs
-2FruMQDUR0,making_jewelry
-2GucDajjGY,hitting_baseball
-2IdUKJVuMY,tapping_guitar
-2IvRufK7uc,cartwheeling
-2KEkl93snA,dancing_ballet
-2KG4xiBL1s,marching
-2KezGiYpZA,marching
-2Km-NboGO4,snowboarding
-2KvnLMnrA0,golf_driving
-2LiVPczCr8,milking_cow
-2N36vLrHbU,punching_bag
-2OIwKdLW_Q,petting_animal_(not_cat)
-2UWP3n_05A,singing
-2UnEKzUgSU,dribbling_basketball
-2egBNANLTg,playing_tennis
-2gL5FducRk,unboxing
-2hoixBAoJ4,playing_accordion
-2jPR5x7kLw,ice_climbing
-2jWUw9x4Ss,passing_American_football_(in_game)
-2jqFdD__ag,auctioning
-2mJ8r8dDrA,drop_kicking
-2p42aWACGw,busking
-2pbmcFUlqg,ironing
-2tv_BBzNnY,waxing_back
-31EYtlmnV8,catching_or_throwing_softball
-327uLLh08w,headbutting
-34DlWSfs2g,weaving_basket
-36efvC2K54,baking_cookies
-36nz7JP2Ac,getting_a_tattoo
-37UUIjsmGA,air_drumming
-39sHTky_6o,playing_ukulele
-3B32lodo2M,abseiling
-3EZyImLCXk,playing_guitar
-3Esu7rw6DM,playing_drums
-3I-5fQwkbo,carrying_baby
-3ILasp5SPM,knitting
-3L-WLPIOuo,bandaging
-3N2gRXnmsE,milking_cow
-3Nz5NOgpXM,playing_trumpet
-3OVmEFi_X4,springboard_diving
-3S3VX06QHg,ice_climbing
-3TTZ9RtlwM,celebrating
-3W9JmAcHxI,ice_climbing
-3cITTb9tmA,tossing_coin
-3d_wBqauwE,weaving_basket
-3dkp9Yl6ZQ,using_remote_controller_(not_gaming)
-3dnFPNzuW4,golf_chipping
-3etcrOAM-E,presenting_weather_forecast
-3gv9XDUOFA,eating_spaghetti
-3kZSi5qjRM,ice_skating
-3lhp17hpGw,shuffling_cards
-3oMRfsfzQ0,contact_juggling
-3pWBL1TJZg,ice_climbing
-3pp5xan1Hw,jumping_into_pool
-3t2tQHIpZw,shuffling_cards
-3tVVBhz8-o,balloon_blowing
-3usVvvMGSY,barbequing
-3vKpQQMYbE,picking_fruit
-3wWE2UjjWM,ice_climbing
-3x5jizdxd8,tying_tie
-3xvTiROe7o,air_drumming
-40Vpi4U4ac,tapping_guitar
-43sC7j9Qa0,bookbinding
-458rvyOZkM,jumping_into_pool
-48E9wdw6Tg,riding_mechanical_bull
-4A5Vwel4s8,headbanging
-4Ag5_I75Zk,passing_American_football_(not_in_game)
-4AxmUAfrSc,playing_monopoly
-4BLNRb_LcM,shaving_legs
-4CxOUPL6o4,eating_spaghetti
-4FLl7iMGPY,squat
-4FUO1JxtYg,jumping_into_pool
-4GdVLFjMEQ,sharpening_pencil
-4GpJEw9uXs,playing_harp
-4Q5hF4j734,shaking_head
-4XHW-rTETw,playing_accordion
-4ZqQgKrfUY,catching_fish
-4_M902vHy8,shot_put
-4ano7snqlI,kitesurfing
