filename,t,t_rel,len
Close Calls & Near Misses Compilation _ FailArmy 201647.mp4,3.744773,0.35244922352941177,10.625
Getting Away From Me Fails (November 2017 _ FailArmy28.mp4,4.006039666666666,0.33735070877192985,11.875
Close Calls & Near Misses Compilation _ FailArmy 201630.mp4,4.9278363333333335,0.4637963607843137,10.625
Throwback Fails - Watch out for that! (June 2017)27.mp4,4.529251666666666,0.5408061691542289,8.375
FailArmy Throwbacks - Hold On Tight! (May 2017)113.mp4,5.1107055,0.5175397974683544,9.875
27 Hilarious Cooking Fail Nominees - FailArmy Hall of Fame (July 2017)12.mp4,2.9336265,0.15044238461538462,19.5
Winter Fails! (January 2017) _ FailArmy36.mp4,2.4502806666666666,0.16612072316384183,14.75
FailArmy Throwbacks - Hold On Tight! (May 2017)119.mp4,4.652950333333333,0.4595506502057613,10.125
Big Air - Soaring with Style! (September 2017) _ FailArmy0.mp4,3.302262,0.44776433898305085,7.375
Downhill Mayhem - Fails of the Week (March 2019) _ FailArmy4.mp4,9.423789999999999,0.7539032,12.5
Old People OGs - Retirement Fails (October 2016) _ FailArmy29.mp4,5.169912666666666,0.7256017777777778,7.125
False Start! - Best Fails of the Week! (May 2018) _ FailArmy4.mp4,4.544488,0.7574146666666667,6.0
Polar Vortex Problems14.mp4,2.049265,0.2876161403508772,7.125
Summer vs Winter Fails (June 2018) _ FailArmy7.mp4,5.542357,0.5684468717948717,9.75
Yoga Fails - I'm So Zen Right Now  (April 2017) _ FailArmy33.mp4,3.7865983333333335,0.5409426190476191,7.0
"Fails of the Week - This Time, It's Personal (May 2017)5.mp4",1.7172955,0.2592144150943396,6.625
Fails of the Week 2 November 2016 _ FailArmy9.mp4,2.9568166666666666,0.3942422222222222,7.5
Tricycle Trouble - Fails of the Week (September 2018) _ FailArmy18.mp4,8.382053333333333,0.20696427983539092,40.5
Go for Broke - Breaking Things (November 2016) _ FailArmy43.mp4,2.598635,0.6299721212121211,4.125
Best Fails of Week 2 July 2016 _ FailArmy9.mp4,2.36543,0.4205208888888889,5.625
Best Fails of the Month - Is This Regulation Size (March 2018) _ FailArmy7.mp4,6.514184500000001,0.9305977857142858,7.0
Fails of the Week 1 August 2016 _ FailArmy47.mp4,3.922799,0.8481727567567567,4.625
FailFactory - Gravity Always Wins (February 2019) _ FailArmy236.mp4,2.327579,0.37241264,6.25
Throwback Fails - Face Paint Required! (March 2018) _ FailArmy8.mp4,3.9871339999999997,0.4369461917808219,9.125
Fails of the Week 2 September 2016 _ FailArmy4.mp4,1.9415139999999997,0.27735914285714286,7.0
Best Fails of the Year - Part 1 (2018) _ FailArmy25.mp4,4.413794666666667,0.6538955061728394,6.75
Best Fails of the Year 2017 (So Far) _ FailArmy124.mp4,0.68412,0.1563702857142857,4.375
"Watch This, Watch This! - Funny Kid Fails (October 2017) _ FailArmy12.mp4",1.581711,0.1782209577464789,8.875
Smile Wide! - Fails You Missed #26 (January 2018)11.mp4,4.668087333333333,0.3625698899676375,12.875
You Can't Win 'Em All - Fails of the Week (December 2016) _ FailArmy10.mp4,2.613852666666667,0.774474864197531,3.375
Doggone It! - Fails You Missed #23 (December 2017) _ FailArmy57.mp4,3.949226,0.4388028888888889,9.0
Motorcycle Mayhem - Throwback Thursday (November 2017)66.mp4,5.946104666666667,0.6259057543859649,9.5
Summer vs Winter Fails (June 2018) _ FailArmy57.mp4,1.252809,0.3340824,3.75
Fails You Missed - Jump On In! #28 (February 2018)_ FailArmy80.mp4,5.855030666666667,0.3345731809523809,17.5
Fails Like Teen Spirit (February 2018) _ FailArmy12.mp4,4.068048666666667,0.6508877866666666,6.25
Winter Fails! (January 2017) _ FailArmy0.mp4,3.1172680000000006,0.24691231683168316,12.625
You Can't Win 'Em All - Fails of the Week (December 2016) _ FailArmy4.mp4,2.5508710000000003,0.31885887500000004,8.0
The Return of the Fail Ninja - Throwback Thursday (September 2017) _ FailArmy54.mp4,3.051209333333334,0.2905913650793651,10.5
FailArmy After Dark - Let The Tuna Go! (Ep. 5)36.mp4,9.698267999999999,0.6746621217391304,14.375
That's Going to Leave a Mark!! - Throwback Thursday (August 2017)122.mp4,8.605712666666667,0.471545899543379,18.25
Brother Fails _ 'Bros For Life' By FailArmy 20167.mp4,5.867204,0.7111762424242424,8.25
Best Fails of the Week 3 March 2016 _ 'You Are An Epic Fail!' by FailArmy24.mp4,2.5829109999999997,0.6261602424242424,4.125
FailArmy After Dark - Let's Get Crazy!  (Ep. 4)86.mp4,2.7535220000000002,0.4236187692307693,6.5
Best Fails of the Month May 2016 _ FailArmy37.mp4,4.079762666666666,0.45330696296296297,9.0
"There Was An Attempt, Then A Fail (March 2018) _ FailArmy9.mp4",3.994218,0.591736,6.75
Best Fail of the Week - Bad Kitty! (April 2018) _ FailArmy14.mp4,3.0093903333333336,0.290061718875502,10.375
FailArmy After Dark - Let The Tuna Go! (Ep. 5)9.mp4,0.718946,0.23006271999999997,3.125
31 Senior Citizen Fails - FailArmy Hall of Fame (September 2017)7.mp4,3.256612,0.5543169361702127,5.875
Best Fails of the Year 2016 (So Far) _ FailArmy Fail Compilation16.mp4,9.060415333333333,0.4419714796747967,20.5
FailArmy Versus - Gymnastics vs. Parkour53.mp4,2.838378,0.47306299999999996,6.0
Winter is Coming - Snow Fails (October 2018) _ FailArmy17.mp4,8.497651,0.5911409391304349,14.375
"I'm Slipping, I'm Falling, I Can't Get Up - Throwback Fails (January 2018) _ FailArmy38.mp4",3.2271365,0.3585707222222222,9.0
Throwback Fails - Show Us Your Stuff! (February 2018) _ FailArmy48.mp4,2.339158,0.22277695238095238,10.5
